
2024/11/13 (04:45:45) | ===> btop++ v.1.4.0
2024/11/13 (04:45:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (04:53:07) | ===> btop++ v.1.4.0
2024/11/13 (04:53:07) | INFO: Logger set to DEBUG
2024/11/13 (04:53:07) | DEBUG: Using locale en_US.UTF-8
2024/11/13 (04:53:07) | INFO: Running on /dev/pts/7
2024/11/13 (04:53:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/13 (04:53:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/13 (04:53:07) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/13 (04:53:07) | DEBUG: Shared::init() : Initialized.
2024/11/13 (04:53:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme

2024/11/13 (04:53:41) | ===> btop++ v.1.4.0
2024/11/13 (04:53:41) | INFO: Logger set to DEBUG
2024/11/13 (04:53:41) | DEBUG: Using locale en_US.UTF-8
2024/11/13 (04:53:41) | INFO: Running on /dev/pts/7
2024/11/13 (04:53:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/13 (04:53:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/13 (04:53:41) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/13 (04:53:41) | DEBUG: Shared::init() : Initialized.
2024/11/13 (04:53:41) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/13 (04:55:25) | ===> btop++ v.1.4.0
2024/11/13 (04:55:25) | INFO: Logger set to DEBUG
2024/11/13 (04:55:25) | DEBUG: Using locale en_US.UTF-8
2024/11/13 (04:55:25) | INFO: Running on /dev/pts/7
2024/11/13 (04:55:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/13 (04:55:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/13 (04:55:25) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/13 (04:55:25) | DEBUG: Shared::init() : Initialized.
2024/11/13 (04:55:25) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/14 (05:12:58) | ===> btop++ v.1.4.0
2024/11/14 (05:12:58) | INFO: Logger set to DEBUG
2024/11/14 (05:12:58) | DEBUG: Using locale en_US.UTF-8
2024/11/14 (05:12:58) | INFO: Running on /dev/pts/0
2024/11/14 (05:12:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/14 (05:12:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/14 (05:12:58) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/14 (05:12:58) | DEBUG: Shared::init() : Initialized.
2024/11/14 (05:12:58) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/15 (16:39:43) | ===> btop++ v.1.4.0
2024/11/15 (16:39:43) | INFO: Logger set to DEBUG
2024/11/15 (16:39:43) | DEBUG: Using locale en_US.UTF-8
2024/11/15 (16:39:43) | INFO: Running on /dev/pts/0
2024/11/15 (16:39:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/15 (16:39:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/15 (16:39:44) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/15 (16:39:44) | DEBUG: Shared::init() : Initialized.
2024/11/15 (16:39:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/15 (16:43:22) | ===> btop++ v.1.4.0
2024/11/15 (16:43:22) | INFO: Logger set to DEBUG
2024/11/15 (16:43:22) | DEBUG: Using locale en_US.UTF-8
2024/11/15 (16:43:22) | INFO: Running on /dev/pts/2
2024/11/15 (16:43:22) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/15 (16:43:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/15 (16:43:22) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/15 (16:43:22) | DEBUG: Shared::init() : Initialized.
2024/11/15 (16:43:22) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2024/11/17 (23:50:49) | ===> btop++ v.1.4.0
